List 100 phone numbers in separated parts: country code, area code and line number

SELECT LEFT(content,1) AS countryCode, SUBSTRING(content, 3, 3) AS areaCode, RIGHT(content, 8) AS lineNumber FROM Phone WHERE content LIKE "1-%" LIMIT 100;

+-------------+----------+------------+
| countryCode | areaCode | lineNumber |
+-------------+----------+------------+
| 1           | 485      | 537-2426   |
| 1           | 432      | 441-4780   |
| 1           | 307      | 836-1109   |
| 1           | 214      | 443-0290   |
| 1           | 765      | 240-6001   |
| 1           | 230      | 221-1403   |
| 1           | 933      | 411-8963   |
| 1           | 217      | 683-0322   |
| 1           | 363      | 312-3742   |
| 1           | 953      | 285-0954   |
| 1           | 447      | 297-5925   |
| 1           | 713      | 138-8065   |
| 1           | 425      | 733-8123   |
| 1           | 222      | 732-9450   |
| 1           | 941      | 735-6014   |
| 1           | 199      | 864-5100   |
| 1           | 506      | 139-6333   |
| 1           | 856      | 300-4636   |
| 1           | 768      | 851-8916   |
| 1           | 551      | 911-4116   |
| 1           | 923      | 788-5890   |
| 1           | 338      | 670-3648   |
| 1           | 257      | 867-0566   |
| 1           | 436      | 895-8796   |
| 1           | 889      | 800-9270   |
| 1           | 303      | 638-4150   |
| 1           | 526      | 858-8854   |
| 1           | 520      | 727-8601   |
| 1           | 795      | 477-6585   |
| 1           | 262      | 471-8898   |
| 1           | 440      | 731-0304   |
| 1           | 516      | 476-2302   |
| 1           | 835      | 732-0205   |
| 1           | 576      | 879-5834   |
| 1           | 707      | 888-2787   |
| 1           | 155      | 560-6351   |
| 1           | 126      | 595-8699   |
| 1           | 272      | 146-5304   |
| 1           | 506      | 455-6680   |
| 1           | 519      | 116-5208   |
| 1           | 327      | 293-1102   |
| 1           | 877      | 158-1811   |
| 1           | 712      | 403-3978   |
| 1           | 983      | 319-0898   |
| 1           | 716      | 957-3905   |
| 1           | 164      | 741-1817   |
| 1           | 146      | 826-8368   |
| 1           | 217      | 977-2013   |
| 1           | 874      | 317-2489   |
| 1           | 664      | 727-1636   |
| 1           | 213      | 934-5487   |
| 1           | 619      | 326-3662   |
| 1           | 598      | 766-9531   |
| 1           | 286      | 745-2897   |
| 1           | 811      | 990-2618   |
| 1           | 410      | 492-3992   |
| 1           | 769      | 175-6037   |
| 1           | 336      | 193-1111   |
| 1           | 116      | 157-3520   |
| 1           | 924      | 830-4859   |
| 1           | 912      | 715-0333   |
| 1           | 973      | 853-1399   |
| 1           | 844      | 168-7125   |
| 1           | 345      | 730-7826   |
| 1           | 203      | 670-8601   |
| 1           | 380      | 554-5763   |
| 1           | 665      | 685-5382   |
| 1           | 581      | 724-8616   |
| 1           | 372      | 257-8577   |
| 1           | 206      | 495-1425   |
| 1           | 863      | 368-2937   |
| 1           | 826      | 300-6188   |
| 1           | 386      | 266-9477   |
| 1           | 229      | 198-6716   |
| 1           | 579      | 683-7011   |
| 1           | 219      | 984-2564   |
| 1           | 395      | 184-0701   |
| 1           | 413      | 597-6316   |
| 1           | 928      | 234-9600   |
| 1           | 464      | 411-9555   |
| 1           | 650      | 808-7230   |
| 1           | 873      | 432-9306   |
| 1           | 261      | 817-4211   |
| 1           | 847      | 924-9396   |
| 1           | 355      | 753-8028   |
| 1           | 387      | 726-9538   |
| 1           | 245      | 342-8807   |
| 1           | 418      | 921-5849   |
| 1           | 115      | 604-8551   |
| 1           | 933      | 986-6219   |
| 1           | 287      | 915-4975   |
| 1           | 375      | 412-4731   |
| 1           | 712      | 100-6444   |
| 1           | 137      | 795-9671   |
| 1           | 534      | 780-0705   |
| 1           | 380      | 407-6778   |
| 1           | 391      | 754-0615   |
| 1           | 295      | 224-3944   |
| 1           | 824      | 853-9469   |
| 1           | 778      | 730-0178   |
+-------------+----------+------------+
